,Movie,Year,Runtime,IMDBRatings,Metascore Rating,Votes,US Gross
0,The Shawshank Redemption,1994,142,9.3,80,2321594,28.34
1,The Godfather,1972,175,9.2,100,1603485,134.97
2,The Dark Knight,2008,152,9.0,84,2283590,534.86
3,The Godfather: Part II,1974,202,9.0,90,1119809,57.3
4,12 Angry Men,1957,96,9.0,96,683240,4.36
5,The Lord of the Rings: The Return of the King,2003,201,8.9,94,1629541,377.85
6,Pulp Fiction,1994,154,8.9,94,1810985,107.93
7,Schindler's List,1993,195,8.9,94,1203877,96.9
8,Inception,2010,148,8.8,74,2047017,292.58
9,Fight Club,1999,139,8.8,66,1838933,37.03
10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1646037,315.54
11,Forrest Gump,1994,142,8.8,82,1790633,330.25
12,"Il buono, il brutto, il cattivo",1966,161,8.8,90,683305,6.1
13,Soorarai Pottru,2020,153,8.7,-1,51137,
14,The Lord of the Rings: The Two Towers,2002,179,8.7,87,1473166,342.55
15,The Matrix,1999,136,8.7,73,1661367,171.48
16,Goodfellas,1990,146,8.7,90,1010888,46.84
17,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,1149787,290.48
18,One Flew Over the Cuckoo's Nest,1975,133,8.7,83,911161,112.0
19,Hamilton,2020,160,8.6,90,50102,
20,Gisaengchung,2019,132,8.6,96,524576,53.37
21,Interstellar,2014,169,8.6,74,1491906,188.02
22,Cidade de Deus,2002,130,8.6,79,694987,7.56
23,Sen to Chihiro no kamikakushi,2001,125,8.6,96,643124,10.06
24,Saving Private Ryan,1998,169,8.6,91,1225137,216.54
25,The Green Mile,1999,189,8.6,61,1136219,136.8
26,La vita è bella,1997,116,8.6,59,617822,57.6
27,Se7en,1995,127,8.6,65,1430973,100.13
28,The Silence of the Lambs,1991,118,8.6,85,1259146,130.74
29,Star Wars,1977,121,8.6,90,1221711,322.74
30,Seppuku,1962,133,8.6,85,40703,
31,Shichinin no samurai,1954,207,8.6,98,313396,0.27
32,It's a Wonderful Life,1946,130,8.6,89,397305,
33,Joker,2019,122,8.5,59,913782,335.45
34,Vikram Vedha,2017,147,8.5,-1,27154,
35,Whiplash,2014,106,8.5,88,708482,13.09
36,The Intouchables,2011,112,8.5,57,751215,13.18
37,The Prestige,2006,130,8.5,66,1178980,53.09
38,The Departed,2006,151,8.5,85,1179481,132.38
39,The Pianist,2002,150,8.5,85,722542,32.57
40,Gladiator,2000,155,8.5,67,1330375,187.71
41,American History X,1998,119,8.5,62,1028032,6.72
42,The Usual Suspects,1995,106,8.5,77,984072,23.34
43,Léon,1994,110,8.5,64,1026373,19.5
44,The Lion King,1994,88,8.5,88,933665,422.78
45,Terminator 2: Judgment Day,1991,137,8.5,75,989087,204.84
46,Nuovo Cinema Paradiso,1988,155,8.5,80,228301,11.99
47,Hotaru no haka,1988,89,8.5,94,232178,
48,Back to the Future,1985,116,8.5,87,1048261,210.61
49,Once Upon a Time in the West,1968,165,8.5,80,300553,5.32
50,Psycho,1960,109,8.5,97,599616,32.0
51,Casablanca,1942,102,8.5,100,518101,1.02
52,Modern Times,1936,87,8.5,96,215844,0.16
53,City Lights,1931,87,8.5,99,166286,0.02
54,Capharnaüm,2018,126,8.4,75,59830,1.66
55,Ayla: The Daughter of War,2017,125,8.4,-1,33481,
56,Kimi no na wa.,2016,106,8.4,79,189673,5.02
57,Dangal,2016,161,8.4,-1,153835,12.39
58,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,364670,190.24
59,Avengers: Endgame,2019,181,8.4,78,790225,858.37
60,Avengers: Infinity War,2018,149,8.4,68,821026,678.82
61,Coco,2017,105,8.4,81,370831,209.73
62,Django Unchained,2012,165,8.4,81,1344232,162.81
63,The Dark Knight Rises,2012,164,8.4,78,1504714,448.14
64,3 Idiots,2009,170,8.4,67,340585,6.53
65,Taare Zameen Par,2007,165,8.4,-1,166747,1.22
